algorithm,time,samples
InsertionSort,223,10000
MergeSort,270,10000
SelectonSort,324,10000
QuickSort,74,10000
InsertionSort,284,11000
MergeSort,199,11000
SelectonSort,354,11000
QuickSort,76,11000
InsertionSort,157,12000
MergeSort,129,12000
SelectonSort,264,12000
QuickSort,64,12000
InsertionSort,114,13000
MergeSort,197,13000
SelectonSort,381,13000
QuickSort,96,13000
InsertionSort,186,14000
MergeSort,111,14000
SelectonSort,414,14000
QuickSort,86,14000
InsertionSort,161,15000
MergeSort,88,15000
SelectonSort,386,15000
QuickSort,98,15000
InsertionSort,171,16000
MergeSort,103,16000
SelectonSort,450,16000
QuickSort,115,16000
InsertionSort,212,17000
MergeSort,124,17000
SelectonSort,503,17000
QuickSort,132,17000
InsertionSort,226,18000
MergeSort,137,18000
SelectonSort,624,18000
QuickSort,162,18000
InsertionSort,265,19000
MergeSort,159,19000
SelectonSort,630,19000
QuickSort,171,19000
InsertionSort,298,20000
MergeSort,165,20000
SelectonSort,1056,20000
QuickSort,196,20000
